"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50";"51";"52";"53";"54";"55";"56";"57";"58";"59";"60";"61";"62";"63";"64";"65"
"SAN BARTOLOME APOSTOL";"310088";"SAN BARTOLOME APOSTOL";"10";"GODELLA";"3";"ABADIA,2";"7";"46110";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"EL SALVADOR";"310090";"EL SALVADOR";"10";"GODELLA";"3";"ERMITA DEL SALVADOR,S/N.";"7";"46110";"606270151";;;"1";"7";"8";;;"5";"1º Y 3º JUEVES DE MES DE 17,30 A 19H";"13";"26";"10";"29";"22";"125";"45";"4";;;"1";;"1";"4000";"240";"2856";;;;;;;;;"4130";"11226";"2228";"2096";;;;;;;"204";;;;;;;"4528";;;"219";"2013"
"NATIVIDAD DE NUESTRA SEÑORA";"310091";"NATIVIDAD DE NUESTRA SEÑORA";"10";"BURJASSOT";"3";"ESPARTERO,2(CANTERERIA)";"7";"46100";"963638389";"BIBLIA2M@GMAIL.COM";;"1";"5";"6";"2";"1";"2";"MARTES DE 17,30 A 20,30H";"198";"606";"474";"332";"167";"2427";"700";"3";;"1";"1";;;"3407";"504";"2788";;;"10110";"680";;;;;;"17489";"9854";"378";;"236";"1478";"275";"2660";;;;;;;;"1800";"16681";;;"219";"2013"
"NTRA. SRA. DE LOS DESAMPARADOS";"310093";"NTRA. SRA. DE LOS DESAMPARADOS";"10";"PATERNA";"3";"MARIANA COLAS,4O";"8";"46980";"638558639";"PATRVISENSO@HOTMAIL.COM";;"2";"6";"8";;;"3";"MARTES";"5";"29";"19";"15";"16";"110";"54";;;;;;;;"240";;"130";"1050";;;;;;;;"1420";;"2018";;;;;;;;"130";;;;;;"2148";;;"219";"2013"
"MADRE DEL REDENTOR";"310092";"MADRE DEL REDENTOR";"10";"PATERNA";"3";"YESA,9-4";"8";"46980";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"NUESTRA SEÑORA DE TERRAMELAR";"310094";"NUESTRA SEÑORA DE TERRAMELAR";"10";"PATERNA - TERRAMELAR";"3";"lALZIRA,5-2b";"8";"46989";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"SAN PEDRO APOSTOL";"310096";"SAN PEDRO APOSTOL";"10";"PATERNA";"3";"PL.DE LA IGLESIA, 1";"8";"46980";"961382122";"PATERNASANPEDRO@GMAIL.COM";;"1";"10";"11";;"1";;"JUEVES DE 17 A 19H";"107";"372";"198";"281";"133";"945";"414";"1";;;"1";;;"2556";"2984";"8908";"1445";;;;;;;;"929";"16822";"22763";;;;"60";;;;;"1445";;"120";;;;"24388";;;"219";"2013"
"SANTA RITA";"310097";"SANTA RITA";"10";"PATERNA";"3";"ANTONIO MACHADO,265";"8";"46980";"961383559";;;"12";"5";"17";;"4";"2";"2º Y 4º MARTES DE MES";"28";"100";"20";"128";"20";"384";"145";;;;;"1";"1";"6221";;"4918";;;;"2184";;;;;;"13323";"560";"11171";;;"1624";;;;;;;;;;"747";"14102";;;"219";"2013"
"AVE MARIA Y SAN JOSE";"310099";"AVE MARIA Y SAN JOSE";"10";"VALENCIA";"3";"CAMPAMENTO,76 BENIMAMET";"21";"46035";;;;"3";"7";"10";;;"4";"LUNES Y MIERCOLES DE 18 A 19,3H";"27";"48";"7";"21";"19";"226";"79";"2";;;;"1";;"745";"1682";"4782";;;"7909";;;;"45";;;"15163";"4197";"5347";;;"2110";;;"70";"429";;;;;;"26";"12179";;;"219";"2013"
"SAN VICENTE MARTIR(BENIMAMET)";"310100";"SAN VICENTE MARTIR(BENIMAMET)";"10";"VALENCIA";"3";"PZ.DR.XIMENO,3";"21";"46035";"963400830";;;"3";"8";"11";;;"2";"VIERNES DE 17 A 19H";"23";"83";"43";"31";"53";"322";"132";;;;;;;;"2805";"12283";"570";;"5500";;;;;;"6887";"28045";"13004";"4324";;"1337";"1445";"722";;;"4891";;;;;;;"25723";;;"219";"2013"
"EL SALVADOR Y SANTA MONICA";"206101";"EL SALVADOR Y SANTA MONICA";"6";"VALENCIA";"2";"PL.SANTA MONICA,1";"21";"46009";"963472912";;;;"8";"8";;;"3";"MIERCOLES Y JUEVES DE 17,30 A 19,30H";"15";"53";"45";"23";"18";"201";"6";"6";;;;;;;"430";"11768";;;"3000";;;;;;"4424";"19622";"12935";;"3600";"585";"1036";"672";;;;;;;;;"792";"19620";;"1";"219";"2013"
"NUESTRA SEÑORA DEL CARMEN";"206102";"NUESTRA SEÑORA DEL CARMEN";"6";"VALENCIA";"2";"ALBORAYA,33";"7";"46010";"963606757";;;"3";"9";"12";;"1";;"JUEVES A PARTIR DE LAS 17,30H";"32";"69";"55";"46";"28";"242";"89";"7";"1";;;"1";;"6025";"4186";"4699";;;"1880";"1776";;;;;"12";"18578";"1885";"10561";"3630";;"1030";"165";;"31";"906";;;;;"1200";"1286";"20694";;"1";"219";"2013"
"NTRS.SRA.DEL SAGRADO CORAZON";"206103";"NTRS.SRA.DEL SAGRADO CORAZON";"6";"VALENCIA";"2";"santriago ruisiñol,28";"21";"46019";"963666465";"MHBOYANO@MISACORES.ORG";;"2";"5";"7";;;"1";"LUNES DE 18,30 A 21H";"18";"40";"35";"23";"45";"151";"66";"4";;;;;"1";"3814";;"3885";"350";;"7340";;;;;;"200";"15589";"3552";"3264";"2750";"276";"2000";"1282";;;;"350";;;;;"200";"13674";;"1";"219";"2013"
"SAN ANTONIO ABAD";"206104";"SAN ANTONIO ABAD";"6";"VALENCIA";"2";"SAGUNTO,188";"21";"46009";"VALENCIA";;;"1";"8";"9";;;;"MIERCOLES DE 18 A 20H";"22";"26";"35";"12";"19";"150";"51";;;;;"1";"1";"250";;"200";;;;;;;;;;"450";"12895";;;;;;;;;;;;;;;"12895";;"1";"219";"2013"
"SAN DIONISIOY SAN PANCRACIO";"206106";"SAN DIONISIOY SAN PANCRACIO";"6";"VALENCIA";"2";"SANTO DOMINGO SAVIO,37";"21";"46019";"963664438";"PJOSEJAVIER@GMAIL.COM";;"2";"5";"7";"1";;"1";"MARTES DE 17 A 21H";"200";"600";"480";"320";"500";"3200";"1700";"10";;"1";;"1";"1";"2400";;"500";"300";;"6000";"10000";;;;;;"19200";"2200";;"3600";"300";"8400";"3100";"1000";;"100";"300";;;;;;"19000";;"1";"219";"2013"
"SAN JERONIMO";"206107";"SAN JERONIMO";"6";"VALENCIA";"2";"Duque de Mandas, 24";"21";"46019";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"219";
"SAN LAZARO";"206108";"SAN LAZARO";"6";"VALENCIA";"2";"SAGUNTO,130";"21";"46009";"963653507";"CPSAANLAZARO@GMAIL.COM";;"12";"25";"37";;;"10";"LUNES DE 8,30 A 9,30H
MIERCOLES DE 16 A 19H";"90";"120";"180";"40";"51";"210";"90";"3";;;;;;"1610";;"25141";;;"985";;;;"1200";;"4183";"33119";"11476";"246";"3150";"901";"9029";"925";"4115";;"342";;;;;;;"30184";;"1";"219";"2013"
"ASUNCION DE NUESTRA SEÑORA-benimaclet";"206110";"ASUNCION DE NUESTRA SEÑORA-benimaclet";"6";"VALENCIA";"2";"PLZA. DE LA IGLESIA,1";"21";"46020";"963690531";"ASUNCIONBENI@HOTAMaIL.COM";"http://asuncionbenimaclet.webnode.es/";;"9";"9";;;"1";"MIERCOLES DE 17,30 A 19,30H";"30";"75";"57";"48";"31";"309";"92";"10";"1";;;;"1";"2689";"7290";"2600";;"400";"2500";"620";;;;;;"16099";"8415";"704";"2400";"1790";;"709";"300";;"129";;"400";;;;;"14847";;"1";"219";"2013"
"SAN LORENZO MARTIR";"206112";"SAN LORENZO MARTIR";"6";"VALENCIA";"2";"ALBOCACER,14";"21";"46020";;;;"2";"3";"5";;;;"MIERCOLES DE  18 A 20H";"28";"103";"89";"42";"36";"359";;;;;;;"1";"2400";;"1440";"560";"1500";"5208";"4209";"800";;;;;"16117";"5622";;"2400";;;"989";"800";;;"560";"1500";;;;"4209";"16080";;"1";"219";"2013"
"NUESTRA SEÑORA DEL MILAGRO Y SAN MAXIMILIANO KOLBE";"206681";"NUESTRA SEÑORA DEL MILAGRO Y SAN MAXIMILIANO KOLBE";"6";"VALENCIA";"2";"AVDA. VICENTE ZARAGOZA,91";"21";"46020";"933618050";;;"2";"6";"8";;;;"LUNES DE 18 A 20H";"10";"20";"10";"20";"15";"500";;;;;;;;;"1640";"855";;;"6980";;;;;;;"9475";"4960";;"484";;;"1376";"675";;;;;;;;;"7495";;"1";"219";"2013"
"NUESTRA SEÑORA DEL REMEDIO";"102029";"NUESTRA SEÑORA DEL REMEDIO";"2";"VALENCIA";"1";"GRABADOR ESTEVE,12";"21";"46004";"963517544";;;;"6";;;;;"DE MARTES A VIERNES DE 18,30 A 20H";"3";"3";"3";"3";"1";"31";"3";"2";"1";"1";;"1";;;;"10711";"6386";"4435";;;;;;;;"21532";"3035";"2780";;"100";"1700";;;;;"6386";"4625";"800";"2100";;;"21526";;"1";"219";"2013"
"SAN ANDRES APOSTOL";"102030";"SAN ANDRES APOSTOL";"2";"VALENCIA";"1";"COLON,8";"21";"46004";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"219";
"SAN BARTOLOME APOSTOL Y SAN MIGUEL ARCANGEL";"102031";"SAN BARTOLOME APOSTOL Y SAN MIGUEL ARCANGEL";"2";"VALENCIA";"1";"AVDA. REINO DE VALENCIA,6O";"21";"46005";"619150277";"DSANTAPAU@YAHOO.ES";;"2";"6";"8";;"1";;"MARTES Y JUEVES DE 17,30 A 19....";"13";"25";"28";"10";"8";"95";"14";"2";"1";;;;"1";"9785";;"7296";;;;;;;;;;"17081";"4845";"7968";;"529";;"100";"101";;"400";;;;;;"1080";"15023";;"1";"219";"2013"
"SAN FRANCISCO DE BORJA";"102032";"SAN FRANCISCO DE BORJA";"2";"VALENCIA";"1";"CUBA,53";"21";"46006";"963418947";"PARROQUIASANFRANCISCODEBORJA@GMAIL.COM";;"4";"7";;"1";"1";"1";"MIERCOLES DE 19 A 20,30H";"63";"90";"110";"43";"44";"300";;"4";;;;;;"5039";;"850";"805";;"3468";"1079";;;"1000";;"681";"12922";"8170";"180";;"487";"1665";"578";;;"583";"805";;"30";;"60";;"12558";;"1";"219";"2013"
"SAN JUAN Y SAN VICENTE";"102033";"SAN JUAN Y SAN VICENTE";"2";"VALENCIA";"1";"ISABEL LA CATOLICA,13";"21";"46004";"963512595";"REYESBARONA@YAHOO.ES";;;"10";"10";;;;;"1";"4";"5";;;"13";"2";;;;;;;"12831";;"2100";"3652";"3117";;;;;;;"2600";"24300";"1646";"3663";;"390";"120";"1650";"3600";;;"3652";;;;"3117";;"17838";;"1";"219";"2013"
"SAN VALERO OBISPO Y SAN VICENTE MARTIR";"102034";"SAN VALERO OBISPO Y SAN VICENTE MARTIR";"2";"VALENCIA";"1";"PADRE PERERA,6";"21";"46006";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"219";
"SANTA MARIA GORETTI";"102035";"SANTA MARIA GORETTI";"2";"VALENCIA";"1";"GRAN VIA GERMANIAS,22";"21";"46006";"963419243";"S.VAZCAP@GMAIL.COM";;"1";"8";;;;"3";"1º DE CADA MES";"10";"33";"32";"11";"15";"140";"44";;"1";;;;"1";"4950";;"82";"765";;;"300";;;;;;"6097";"50";"1343";;"249";"995";;;;;"765";;;;;"1800";"5202";;"1";"219";"2013"
"SANTO ANGEL CUSTODIO";"102666";"SANTO ANGEL CUSTODIO";"2";"VALENCIA";"1";"REINA DOÑA GERMANA,37";"21";"46005";"963741843";;;"2";"4";"6";;;;"MIERCOLES DE 16,30 A 19,30H";"8";"25";"29";"4";"11";"62";"9";"3";;;;;;;;"3721";"1090";;;;;;;;;"4811";"1761";"956";;"40";"742";"216";;;"5";"1090";;;;;;"4810";;"1";"219";"2013"
"ASUNCION DE NUESTRA SEÑORA";"311115";"ASUNCION DE NUESTRA SEÑORA";"11";"ALAQUAS";"3";"PADRE GUILLEN,S/N";"8";"46970";"961506971";"PASSIMP@TERRA.ES";;"1";"3";"4";;;"2";"LUNES DE 10 A 12H. EN OCASIONES SE ATIENDE SIN HORARIO";"35";"101";"50";"61";"80";"407";"150";"15";"1";"1";;;"1";"6923";;;"47";"1190";;;;;;;;"8160";"1004";;"3000";"919";;;;;;"47";"1190";;"2000";;;"8160";;;"219";"2013"
"NUESTRA SEÑORA DEL OLIVAR";"311116";"NUESTRA SEÑORA DEL OLIVAR";"11";"ALAQUAS";"3";"PEROLERS,3";"8";"46970";;;;"2";"9";"11";;;;"MIERCOLES DE 19 A 20,30H";"8";"63";"16";"55";"39";"236";"94";;"1";;;;"1";"4969";"3170";"4807";"460";;"6000";;;;;;;"19406";"7948";"3056";"2750";"228";"719";"245";;"13";"1428";"460";;;;;;"16847";;;"219";"2013"
"SANTISIMA CRUZ";"311117";"SANTISIMA CRUZ";"11";"ALAQUAS";"3";"MIGUEL HERNANDEZ,39";"8";"46970";"961988883";;;"3";"8";"11";;"1";"1";"MARTES DE 18 A 19,30H";"9";"52";"30";"31";"22";"142";"82";;;;;;;"1065";;"1760";"112";"160";;;;;;;;"3097";"377";"385";"1650";"118";;;;;;"112";"160";;;;;"2802";;;"219";"2013"
"EL SALVADOR Y NUESTRA SEÑORA DE LA SALETTE";"311118";"EL SALVADOR Y NUESTRA SEÑORA DE LA SALETTE";"11";"ALDAIA";"3";"SAN VICENTE,63";"8";"46960";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"LA ANUNCIACION DE NUESTRA SEÑORA";"311119";"LA ANUNCIACION DE NUESTRA SEÑORA";"11";"ALDAIA";"3";"IGLESIA,1";"8";"46960";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"NUEsTRA SEÑORA DE LA SALUD";"311120";"NUEsTRA SEÑORA DE LA SALUD";"11";"XIRIVELLA";"3";"PL.DE LA IGLESIA,6";"8";"46950";"963792680";;;"2";"8";"10";;;;"MIERCOLES DE 17 A 19H";"7";"26";"14";"19";"28";"112";"63";;;;;;"1";"1950";;"1161";;;"1400";;;"5000";;;;"9511";"2929";;"3788";"606";;"357";;;"173";;;;;;"435";"8288";;;"219";"2013"
"SAN FRANCISCO DE PAULA";"311121";"SAN FRANCISCO DE PAULA";"11";"XIRIVELLA";"3";"REI EN JAUME,7";"8";"46950";"961709213";;;"2";"6";"8";;;;"JUEVES DE 18,30 A 20H";"33";"46";"52";"27";"18";"195";"80";"3";;"1";"1";;"1";"4360";;"3344";"768";;;"300";;"5000";"914";"2000";"453";"17139";"1518";"8509";;"261";"300";"357";;;;"768";"650";;"300";"600";"200";"13463";;;"219";"2013"
"SAN RAMON Y SAN VICENTE FERRER";"311122";"SAN RAMON Y SAN VICENTE FERRER";"11";"XIRIVELLA";"3";"MONTEALEGRE,12";"8";"46950";"963792239";;;;"6";"6";;;"1";"LUNES DE 17 A 18,30H";"10";"27";"14";"23";"23";"124";"59";"3";;;;;;;;"2065";"120";;"2500";;;;;;;"4685";;"4795";"518";"38";"84";;;;"13";;;;;;"50";"5498";;;"219";"2013"
"SAGRADO CORAZON DE JESUS";"311125";"SAGRADO CORAZON DE JESUS";"11";"MANISES";"3";"FRANCISCO VALLDECABRES,4";"8";"46940";"961541317";;;;"17";"18";;"1";"2";"JUEVES DE 18 A 20H";"8";"34";"12";"30";"41";"319";"113";;;"1";;;"1";"1475";"1059";"945";"589";;"450";;;;;;;"4518";"525";"2501";;"450";;"225";;;"175";"589";;;;;;"4465";;;"219";"2013"
"NUESTRA SEÑORA DEL CARMEN";"311124";"NUESTRA SEÑORA DEL CARMEN";"11";"MANISES";"3";"VALENCIA,37-A";"8";"46940";;;;"2";"1";"3";;;;"martes de 19 a 21h";"40";"50";"25";"65";"23";"138";"23";;"1";;;;;;;"300";"125";;;;;"700";;;;"1125";;"1000";;;;;;;;"125";;;;;;"1125";;;"219";"2013"
"INMACULADO CORAZON DE MARIA";"311123";"INMACULADO CORAZON DE MARIA";"11";"MANISES";"3";"DR. FLEMING,6";"8";"46940";"961545968";"XFRANCISCOLOPEZ@HOTMAIL.COM";;"5";"5";"10";;"1";"1";"MIERCOLES DE 19 A 20H";"50";"150";"60";"90";"50";"344";"170";"5";;;;;;"2063";;"3371";;;"1856";;;;;"1300";"1470";"10060";"384";"7767";;;"1161";;;;;;;;;;"1857";"11169";;;"219";"2013"
"PURISIMA CONCEPCION Y SAN FRANCISCO DE ASIS";"311126";"PURISIMA CONCEPCION Y SAN FRANCISCO DE ASIS";"11";"MANISES";"3";"CAMI DE SIMETES,1";"8";"46940";"96154830";"ANTONOGAEL.@YAHOO.ES";;"2";"9";"11";;"1";;"LUNES DE 19 A 20H";"8";"21";"1";"28";"4";"111";"35";"3";"1";"1";;;;;"720";"600";;;;;;;;;"151";"1471";;"985";;"194";;;;;;;;;;;;"1179";;;"219";"2013"
"SAN JUAN BAUTISTA";"311128";"SAN JUAN BAUTISTA";"11";"MANISES";"3";"mayor,54";"8";"46940";"961540060";"FGGCARITAS@GMAIL.COM";;"3";"8";"11";;;"5";"MARTES Y VIERNES DE 17 A 19H";"8";"75";"10";"8";"10";"4266";"20";"1";;"1";"1";;"1";"1482";"4973";"4324";"1200";;;;;"1800";;"1231";"660";"15670";"1780";"9355";;"830";;;;;"1005";"1200";;;"1500";;;"15670";;;"219";"2013"
"MADRE SANTISIMA DE LA LUZ";"311129";"MADRE SANTISIMA DE LA LUZ";"11";"QUART DE POBLET";"3";"AVD.SAN ONOFRE,S/N";"8";"46930";"961540136";;;"1";"6";"7";;;;"TRES LUNES AL MES DE 17 A 19,30H";"18";"98";"71";"45";"51";"341";"135";"3";;;"1";"1";;"3350";"4016";"1193";"400";;"1500";;"135";;;"300";"998";"11892";"1134";"7180";;"52";;"400";;;"53";"400";;;;"1060";"13";"10292";;;"219";"2013"
"PURISIMA CONCEPCION";"311130";"PURISIMA CONCEPCION";"11";"QUART DE POBLET";"3";"PL.IGLESIA,6";"8";"46930";"961548748";"PURISIMACONCEPCION@GMAIL.COM";;"1";"6";"7";;;;"LUNES ALTERNOS";"35";"65";"57";"45";"18";"350";"25";"10";"1";"1";;;"1";"2445";"1365";"3791";;;;;"2000";;;;;"9601";"3073";"5596";;;;;;;;"370";;;;"249";;"9288";;;"219";"2013"
"SANTA CECILIA";"311131";"SANTA CECILIA";"11";"QUART DE POBLET";"3";"MARQUES DE SOLFERI,33";"8";"46930";;;;"2";"6";"8";;;;"MIERCOLES DE 18 A 19H";"21";"49";"18";"52";;"250";"40";"4";;;;;"1";"3255";"4170";"1235";"1175";"560";;;;;;;"31144";"41539";"695";"5355";;"269";;"2069";;;"528";"1175";"560";;;;"2865";"13516";;;"219";"2013"
"SANTISIMO CRISTO";"311132";"SANTISIMO CRISTO";"11";"QUART/ALDAIA Bº DEL CRISTO";"3";"SANTISIMO CRISTO,100";"8";"46930";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"SAN MARTIN OBISPO";"313133";"SAN MARTIN OBISPO";"13";"ALCACER";"3";"PL.CASTELL,S/N";"9";"46290";"961232559";;;"4";"6";"10";"1";;;"JUEVES DE 17,30 A .....";"20";"150";"100";"70";"25";"510";"210";"8";;;"1";;"1";;;"8789";"1145";;"700";;;"1700";"1700";"937";"36";"15007";"2388";"10363";;"328";;"214";;;"646";"1000";;;;;;"14939";;;"219";"2013"
"SAN RAMON NONATO";"312135";"SAN RAMON NONATO";"12";"PAIPORTA";"3";"SAN JOAQUIN,22";"9";"46200";;;;;;;;;;"JUEVES TARDE QUINCENAL";;;;;;;;"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";"2013"
"LA INMACULADA CONCEPCION";"312134";"LA INMACULADA CONCEPCION";"12";"PAIPORTA";"3";"LA IGLESIA,";"9";"46200";"963971330";;;"5";"20";"25";;"3";"2";"JUEVES DE 17,30 A 19,30H";"40";"80";"35";"85";"30";"400";"100";"4";"1";"1";;;"1";"319";;"3000";;;;;;"2000";;"3000";;"8319";"586";"6427";;;"300";;"400";;"600";;;;;;;"8313";;;"219";"2013"
"NUESTRA SEÑORA DE MONSERRAT";"312137";"NUESTRA SEÑORA DE MONSERRAT";"12";"PICANYA";"3";"PL.CONSTITUCION,3";"8";"46210";"9621080826";;;;"8";"8";;;"3";"VIERNES DE 17,30 A 19H";"11";"66";"45";"32";"68";"369";"208";"7";;;;;;;;"1871";"520";;;;;"6000";"4000";"400";"5085";"17876";"5237";;;"180";;;;;;"520";;;;;"1095";"7032";;;"219";"2013"
"LA MILAGROSA Y SAN CRISTOBAL MAR. INTERPARROQUIAL";"313138";"LA MILAGROSA Y SAN CRISTOBAL MAR. INTERPARROQUIAL";"13";"PICASSENT";"3";"ELS FURS,2";"9";"46220";"669772534/961230240";"VICARPUIG@GMAIL.COM/MILAGROSAENRIC@GMAIL.COM";;;;"28";;;;"VIERNES DE 17,30 A 19H";"24";"72";"9";"89";"98";"257";"118";;;;;;;"11442";"2780";"25991";;;;;;"24000";;;"68990";"133203";"4369";;"136044";"710";;;;;"2193";;;;;;;"143316";;;"219";"2013"
"NTRA. SRA. DEL BUEN CONSEJO";"312142";"NTRA. SRA. DEL BUEN CONSEJO";"12";"TORRENT";"3";"VALENCIA,35";"9";"46900";"961552969";"PARROQUIA@BUENCONSEJO.COM";;"5";"3";"8";;;;"1º Y 3º JUEVES DE MES ";"48";"405";"186";"267";"140";"405";"369";"10";"1";"1";;"1";"1";"1662";;"2935";"570";;;;;;;"2000";"950";"8117";"3713";"1097";;"187";;"354";;;;;;"1035";;;"362";"6748";;;"219";"2013"
"NUESTRA SEÑORA DE MONTE SION";"312141";"NUESTRA SEÑORA DE MONTE SION";"12";"TORRENT";"3";"PADRE PRUDENCIO PALMERA, 12";"9";"46900";"961565205";"JAVIRLOPEZDIAZ@OUTLOOK.COM";;"2";"4";"6";;;;"LUNES Y MIERCOLES DE 16 A 17,30H";"9";"13";"8";"14";"21";"77";"29";;;;;;"1";"9130";"3428";"12605";"974";"703";;"720";"1000";;;"600";;"29160";"4065";"18084";;;;"2123";"262";;"85";;"2597";;;;"2280";"29496";;;"219";"2013"
"SAGRADA FAMILIA";"312143";"SAGRADA FAMILIA";"12";"TORRENT";"3";"TOMAS MIGUEL,5";"9";"46900";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"SAN JOSE";"312144";"SAN JOSE";"12";"TORRENT";"3";"PAIS VALENCIA,89";"9";"46900";"961588121";"SJOSETORRENT@GMAIL.COM";;"3";"10";"13";;;;;;;"60";"126";"37";"720";"130";;;;;;"1";"7398";"16171";"6000";;;"3600";"4568";;;"1000";"1000";"1000";"40737";"5110";"26263";"4020";"590";"400";;"2200";;;"604";;"1150";"100";;"300";"40737";;;"219";"2013"
"SAN JUAN BOSCO";"312145";"SAN JUAN BOSCO";"12";"TORRENT";"3";"AVDA. PAIS VALENCIA,111-B";"9";"46900";"961570074";;;"5";"10";"15";;;"1";"2º Y 4º MARTES DE MES DE 18 A 20H";"9";"38";"9";"38";"20";"114";"60";;;;;"1";"1";"4561";;"11200";"935";"1328";;;;"1638";;;"1925";"21587";"5774";"1413";;"110";"3107";"610";"250";;"662";"935";"1328";;;;"1925";"16114";;;"219";"2013"
"SAN LUIS BERTRAN";"312146";"SAN LUIS BERTRAN";"12";"TORRENT";"3";"MUSICO MARIANO PUIG YAGO,4";"9";"46900";"961089359";"SANLUISBELTRAN@ONO.COM";;"2";"9";"11";;;"3";"LUNES DE 17 A 19,30H";"25";"100";"45";"80";"20";"408";;"3";;;;"1";"1";"7531";"2196";"15600";;;;;;"2500";"1000";"1000";;"29827";"10678";"2933";;"537";;"7996";;;;;;;"300";;;"22444";;;"219";"2013"
"LA ASUNCION DE TRA. SRA.";"312140";"LA ASUNCION DE TRA. SRA.";"12";"TORRENT";"3";"STO. DOMINGO, 22";"9";"46900";"961550171";;;"8";"8";"16";;"2";"2";"LUNES, MIERCOLES Y VIERNES DE 19 A 20H";"48";"142";"93";"77";"67";;;"3";;;;;"1";"15633";"23543";"13954";"1127";;;;;;;;"3000";"57257";"1879";"54689";;"186";"717";"335";;;"449";"1127";;;;;"102";"59484";;;"219";"2013"
"LA PASION DEL SEÑOR";"103148";"LA PASION DEL SEÑOR";"3";"VALENCIA";"1";"MIGUEL PAREDES,1";"21";"46018";"963791770";;;;"6";;;;;"1º Y 3º JUEVES DE MES";"6";"37";"19";"24";"15";"116";"39";"1";"1";;;;"1";;"718";"5822";"500";"440";"155";;;;;;"600";"8235";"2986";"2978";"78";"16";"180";"1215";;;;"500";"440";;;;;"8393";;"1";"219";"2013"
"MARIA MEDIANERA";"103149";"MARIA MEDIANERA";"3";"VALENCIA";"1";"CASTAN TOBEÑAS,34";"21";"46018";"963797944/65068834";"CARITAMARIAMEDIANERA@ONO.COM";;"5";"25";"30";;;"7";"VIERNES DE 17 A 19H";"25";"110";"75";"60";"90";"350";"215";"15";"1";;"1";"1";"1";"1687";"1548";"1550";;;"5537";"4140";;"7421";"115583";;;"137466";"8341";"1888";"138";"99";"2700";"131";"125576";"286";"478";;;;;;;"139637";;"1";"219";"2013"
"NUESTRA SEÑORA DE FATIMA";"103150";"NUESTRA SEÑORA DE FATIMA";"3";"VALENCIA";"1";"JUMILLA,2";"21";"46018";"963792372";"JOSEMAMELIBORRA@COLEGIOFATIMA.NET";;"3";"1";"4";;;"1";"MIERCOLES";"13";"44";"32";"25";"6";"119";;;;;;;;"650";"305";"150";;;"3000";;;;;"1400";"244";"5749";"2663";"1692";;"426";;"570";;;;;;;;;;"5351";;"1";"219";"2013"
"SAN EUGENIO PAPA Y SANTA INES";"103151";"SAN EUGENIO PAPA Y SANTA INES";"3";"VALENCIA";"1";"MOSEN JORDI,4";"21";"46018";;;;;;"13";;;"2";"MIERCOLES DE 17,30 A 19H";"10";"60";"58";"12";;"230";;"1";;;;;"1";"4416";;"1000";;;"1625";;;;;;"5965";"13006";"2515";"200";"450";"100";"672";"100";;;;;;;;;"400";"4437";;"1";"219";"2013"
"SAN GABRIEL ARCANGEL";"103152";"SAN GABRIEL ARCANGEL";"3";"VALENCIA";"1";"VICENTE AGUSTI,S/N.";"21";"46018";;;;"1";"4";"5";;;;"2º VIERNES DE MES";"4";"3";"25";"9";;"98";"12";;;;;;"1";"122";;"1125";;;"2650";;;;;;;"3897";"1050";"760";"120";;;;;;;;;;;;;"1930";;"1";"219";"2013"
"SANTA TERESA JORNET";"103155";"SANTA TERESA JORNET";"3";"VALENCIA";"1";"FRAY JUNIPERO SERRA,57";"21";"46014";"963780912";;;"12";"18";;"2";;"10";"MArtes Y JUEVES DE 16 A 80H";"10";"52";"35";"27";"21";"204";"80";;;;;"1";"1";"2612";"1542";"3363";"765";;"4000";;"2338";;;;;"14620";"7480";;"3667";"46";"1814";"778";;;"579";"765";;;;;;"15129";;"1";"219";"2013"
